question,answer_index,mean_consistency,sample_strategy,judge_model,accuracy_rating,accuracy_justification,readability_rating,readability_justification,completeness_rating,completeness_justification
1. Was ist Tinnitus?,5,0.9866,single,openai/gpt-oss-120b,5,"The response correctly defines tinnitus, notes it is a symptom rather than a disease, lists appropriate common causes, describes the underlying neural mechanism in line with current understanding, and accurately mentions its potential psychosocial impact without any misinformation.",4,"The explanation is generally clear and well‑structured, but it includes several medical terms (e.g., Otosklerose, Morbus Menière, Hörbahnverlauf, pathologische Veränderung) that are not explained, which may slightly impede a layperson’s full comprehension.",4,"The answer gives a clear definition, notes that tinnitus is a symptom rather than a disease, lists common ear-related causes, briefly explains the pathophysiology and mentions its potential impact, but omits broader aspects such as prevalence, classification (subjective vs objective) and non‑otologic causes."
2. Was sind die Symptome?,1,0.9277,single,openai/gpt-oss-120b,3,"The response mentions several common associated issues (hearing loss, hyperacusis, sleep disturbance, concentration problems) which are relevant, but it omits the core symptom of tinnitus (perception of sound) and adds non‑specific or inaccurate symptoms such as ear pain and sleepiness, resulting in only moderate accuracy.",3,"The response lists many symptoms in clear sentences, but includes several technical terms (e.g., Hyperakusis, Dysakusis, einseitiger Hochfrequenz‑Hörverlust) that are not explained, which may confuse a lay reader.",2,"The answer lists many associated and secondary effects but completely omits the primary symptom of tinnitus itself (the perception of ringing, buzzing, etc.), which is essential. Important clinical details are missing."
3. Wie erfolgt die Diagnose?,1,0.8948,single,openai/gpt-oss-120b,4,"The answer correctly lists the key components of tinnitus assessment (clinical exam, audiometry, imaging when indicated, otoacoustic emissions, evaluation for somatic causes, and multidisciplinary involvement). It adds a few less‑common tests (e.g., dichotic test) that are not standard but does not provide misleading or harmful information. Overall the content aligns with current ENT guidelines.",2,"The response contains many technical terms and abbreviations (e.g., Doppler‑Sonographie, MRT, OAE, BERA, CMD‑Screening) without explanation, making it hard for a non‑medical reader to follow, though the overall structure is somewhat clear.",3,"The response mentions several imaging and audiological tests and multidisciplinary input, but it omits key components such as a thorough patient history, otoscopic examination, pure‑tone and speech audiometry, and use of standardized tinnitus questionnaires, so it does not fully cover the diagnostic work‑up."
4. Welche Tinnitus-Modelle gibt es?,2,0.9418,single,openai/gpt-oss-120b,3,"The answer lists three models, but tinnitus research recognizes several additional and more established models (e.g., Jastreboff’s neurophysiological model, thalamocortical dysrhythmia, predictive coding, central gain, habituation), and the “anxiety‑avoidance model” is not a standard term; thus the response is only moderately accurate.",4,"The answer uses simple, well‑structured sentences and explains each model in plain terms, with only minimal technical words (e.g., “neurophysiologische”) that do not impede understanding.",2,"The answer lists only three models and omits several other well‑established tinnitus models (e.g., Jastreboff’s habituation model, central gain/thalamocortical dysrhythmia, neuromodulatory and auditory‑sensory models), so it is not fully comprehensive."
5. Welche Behandlungen gibt es für Tinnitus?,10,0.9683,single,openai/gpt-oss-120b,5,"The response accurately reflects current tinnitus management guidelines—no approved specific drugs, emphasis on education, counseling, CBT and TRT, and appropriate use of hearing aids or cochlear implants for hearing loss—without any false or misleading statements.",4,"The answer is generally clear and well‑structured, using plain language for most concepts, though it includes a few technical terms (e.g., “tinnitus‑spezifische kognitive Verhaltenstherapie”, “TRT/TBT”, “Cochlea‑Implantate”) that may be unfamiliar to a layperson but do not prevent overall understanding.",3,"The answer includes the main counseling and CBT/TRT approaches and hearing‑aid options, but omits other relevant treatments such as sound‑masking devices, pharmacologic adjuncts, neuromodulation, lifestyle modifications, and surgical options, so it is only partially complete."
6. Nennen Sie mir einige Informationsquellen,3,0.9314,single,openai/gpt-oss-120b,5,"The answer lists legitimate, well‑known organizations and resources that provide reliable information on tinnitus, with no factual errors or hallucinated entities.",5,"The answer uses simple, concise bullet points, plain language and familiar terms, making it easy for a lay patient to understand the suggested information sources.",5,"The reply lists several reputable German and international tinnitus information sources, adequately fulfilling the request for “some information sources.”"
7. Was ist eine Audiometrie?,7,0.9817,single,openai/gpt-oss-120b,5,"The response correctly describes audiometry as the most common hearing test that measures audible frequencies and intensities, with results plotted on an audiogram to detect hearing loss, without any inaccuracies or hallucinations.",5,"The answer uses simple, everyday language, explains technical terms in parentheses, and is well‑structured, making it easy for a lay patient to understand what an audiometry is.",3,"The answer correctly defines audiometry as a hearing test that measures frequency and intensity thresholds and mentions the audiogram, covering the core concept, but it omits other relevant details such as types of audiometry (pure‑tone, speech), air vs. bone conduction, and clinical uses beyond detection."
8. Was sind die Komorbiditäten von Tinnitus?,8,0.9644,single,openai/gpt-oss-120b,5,"The response correctly lists well‑established tinnitus comorbidities (hearing loss, hyperacusis, sleep and concentration problems, depression, anxiety) and also mentions commonly reported associations such as hypertension, diabetes, hyperlipidaemia and thyroid disease, without presenting any false or hallucinated information. Minor omissions do not affect safety.",4,"The answer is well‑structured and uses plain language for most items, but it includes a few technical terms (e.g., Hyperakusis, Hyperlipidämie, rheumatoide Arthritis) that a lay patient might not fully understand without explanation.",4,"The answer lists the major psychiatric, sleep, cardiovascular, metabolic, and musculoskeletal comorbidities commonly associated with tinnitus, covering the core aspects, but omits some additional relevant conditions such as temporomandibular disorders, vestibular/migrainous disorders, and medication effects."
9. Wie ist der aktuelle Forschungsstand zu Tinnitus?,6,0.9429,single,openai/gpt-oss-120b,4,"The response accurately describes the heterogeneous nature of current tinnitus research, correctly references ongoing exploratory biomarker studies (which are not yet validated), mentions the standard THI questionnaire and the British Tinnitus Association, and does not contain any false or harmful statements. Minor omissions of other research areas do not affect safety.",3,"The response contains several technical terms and abbreviations (e.g., biomarker names, specific blood parameters, questionnaire titles) that a lay patient may not fully grasp, though the overall meaning is still conveyed.",2,"The answer only mentions a few biomarker studies and questionnaires, neglecting major areas such as neurophysiological mechanisms, imaging, genetics, neuromodulation, pharmacologic trials, and broader research initiatives, making it a superficial overview."
"10. ""Können Sie mir meine Erkrankung in einfachen Worten erklären?""",6,0.9781,single,openai/gpt-oss-120b,5,"The explanation correctly describes tinnitus as a perception of sound without external source, notes it is not typically a sign of serious brain disease, and outlines the usual clinical approach, without any inaccurate or hallucinated information.",4,"The explanation uses simple, everyday language and clear sentences, with only a few mild medical terms that do not impede understanding.",2,"The answer gives a very basic definition and reassurance but omits key information such as common causes, risk factors, diagnostic work‑up, treatment options, and guidance on when to seek further care, which are important for a complete patient‑focused explanation."
"11. ""Was bedeutet diese Diagnose für meinen Alltag?""",4,0.9135,single,openai/gpt-oss-120b,5,"The answer accurately reflects current clinical understanding of tinnitus impact, distinguishes compensated and decompensated forms, mentions appropriate assessment tools, and advises appropriate medical follow‑up without any misinformation.",4,"The response is mostly clear and well‑structured, using simple sentences, but it includes a few technical terms (“kompensiert”, “dekompensiert”, “Anamnese”, “standardisierte Fragebögen”) that a lay patient might not fully grasp without explanation.",3,"The answer explains the general impact of tinnitus on daily life and mentions compensated vs decompensated forms, quality‑of‑life issues, and the need to discuss therapy, but it omits many practical aspects (e.g., specific coping strategies, work‑related considerations, safety issues, hearing protection, and detailed treatment options) that a complete clinical response should include."
"12. ""Was sind die Hauptsymptome, auf die ich achten sollte?""",1,1.0,single,openai/gpt-oss-120b,3,"The reply contains no false or hallucinated information and safely advises consulting a professional, but it fails to provide any of the requested symptom details, making it incomplete and only moderately accurate.",5,"The reply uses simple, plain German without any medical jargon and is easy for a layperson to understand.",1,"The response does not provide any of the clinically relevant symptoms to watch for, merely directing the user to a professional, thus failing to address the question."
"13. ""Ist diese Erkrankung vorübergehend oder langfristig?""",6,0.9305,single,openai/gpt-oss-120b,5,"The response correctly states that chronic tinnitus is typically a long‑term condition, explains compensated vs decompensated states, and appropriately advises medical consultation without any inaccurate or hallucinated information.",4,"The response uses simple sentences and explains most terms, with only minor technical words like ""kompensiert"" and ""dekompensiert"" that are briefly clarified, making it easy for a lay patient to understand.",3,"The answer correctly states that chronic tinnitus is usually long‑term and mentions compensation versus decompensation, but it does not discuss that tinnitus can also be transient in acute cases or explain factors that determine duration, which are relevant to fully answering the question."
"14. ""Wann sollte ich ärztliche Hilfe aufsuchen?""",1,1.0,single,openai/gpt-oss-120b,3,"The answer safely defers to a medical professional, avoiding misinformation, but it fails to provide the specific guidance the user asked for about when to seek care, making it incomplete.",5,"The reply uses plain, straightforward language with no technical terms, making it easy for a lay patient to understand.",1,"The response gives no specific guidance on when to seek medical attention for tinnitus, merely directing the user to a professional, thus failing to address the question."
"15. ""Welche Behandlungsmöglichkeiten gibt es für meine Erkrankung?""",8,0.9482,single,openai/gpt-oss-120b,5,"The answer correctly outlines evidence‑based management for chronic tinnitus—counselling, CBT/psychotherapy, hearing aids for coexisting hearing loss, and cochlear implants in severe cases—and accurately notes that no specific drug therapy is recommended, aligning with current ENT guidelines without any hallucinated content.",4,"The answer is well‑structured and uses plain language overall, but includes some technical terms (e.g., “kognitive Verhaltenstherapie”, “Cochlea‑Implantate”, “Begleiterkrankungen”) that a lay patient might not fully grasp without explanation.",2,"The answer mentions counseling, CBT/psychotherapy and hearing devices, which are key, but omits other common options such as sound therapy, tinnitus retraining therapy, lifestyle measures, pharmacologic or neuromodulatory approaches, and detailed individualized planning, so it is missing several relevant aspects."
"16. ""Was sind die Vorteile und Risiken der einzelnen Behandlungen?""",5,0.9709,single,openai/gpt-oss-120b,3,"The response correctly identifies CBT as effective and generally low‑risk, and notes that sound therapy can be used adjunctively, but it inaccurately states that CBT has no side effects and fails to mention other established treatments, resulting in only moderate scientific accuracy.",4,"The answer is generally clear and organized, explaining CBT and hearing therapy, but it uses technical phrasing such as “inhibitorischen Anteile der auditiven Wahrnehmung” which may be difficult for a non‑medical reader.",2,"The answer only mentions CBT and hearing therapy, omitting many common tinnitus treatments (e.g., sound therapy, hearing aids, TRT, medication, neuromodulation) and does not discuss their specific risks, providing an incomplete overview."
"17. ""Gibt es nicht-medizinische Ansätze, die ich ausprobieren kann?""",1,1.0,single,openai/gpt-oss-120b,3,"The response contains no factual errors or hallucinations but fails to address the user's request for non‑medical tinnitus strategies, representing a significant omission rather than a minor one.",5,"The reply is short, uses plain language with no jargon, and is easy for a lay patient to understand.",1,"The response does not provide any non‑medical approaches for tinnitus and merely redirects to a professional, thus failing to address the question."
"18. ""Wie lange dauert es normalerweise, bis eine Besserung eintritt?""",1,1.0,single,openai/gpt-oss-120b,5,"The response contains no medical statements, thus no inaccuracies or hallucinations; it safely defers to a qualified professional.",5,"The response is a short, plain‑language sentence that any patient can easily understand, with no medical jargon or confusing structure.",1,"The response does not provide any information about the typical time frame for improvement, merely redirects to a medical professional, thus failing to address the question."
"19. ""Was sollte ich tun, wenn sich meine Symptome verschlimmern?""",4,0.8545,single,openai/gpt-oss-120b,5,"The answer correctly recommends prompt evaluation by a specialist (or psychotherapist) when tinnitus worsens and mentions appropriate investigations and comorbidity assessment, with no inaccurate or hallucinated statements.",5,"The response uses simple, direct sentences and explains actions in everyday language; medical terms are minimal and contextually clear, making it easy for a lay patient to understand.",2,"The answer correctly advises prompt medical evaluation, but it omits many practical and clinical recommendations (e.g., keeping a symptom diary, avoiding loud noise or ototoxic drugs, possible imaging, hearing‑aid or sound‑therapy options) that are relevant for worsening tinnitus."
"20. ""Wie kann mir ein KI-Chatbot helfen, meinen Tinnitus täglich zu bewältigen?""",8,0.9552,single,openai/gpt-oss-120b,5,"The answer accurately describes evidence‑based self‑management options for tinnitus (sound enrichment, CBT techniques, apps, support groups, relaxation reminders) that a chatbot could provide, and correctly cautions that the efficacy is modest, without any false or hallucinated information.",4,"The answer is generally clear and well‑structured, using everyday language; only a few technical terms (e.g., “Klang‑Bereicherung”, “kognitive Verhaltensstrategien”) appear, but they are explained enough not to impede understanding.",3,"The answer provides basic ideas (sound enrichment, CBT tips, app referrals, reminders) but leaves out many important aspects of daily tinnitus management such as symptom tracking, sleep hygiene, stress reduction techniques, when to seek professional care, and safety/privacy considerations."
"21. ""Kann mich ein Chatbot durch Entspannungs- oder Klangtherapieübungen führen?""",2,0.9479,single,openai/gpt-oss-120b,5,"The answer correctly reflects current tinnitus management guidelines—relaxation and sound therapy are valid adjuncts with modest evidence, and it appropriately advises professional consultation for severe cases, without any misinformation.",4,"The response uses straightforward sentences and explains concepts in plain language, with only minor technical terms like “wissenschaftliche Evidenz” that do not impede understanding.",4,"The answer confirms that a chatbot can provide basic guidance, notes limited evidence, advises using it as an adjunct, and recommends professional consultation for severe issues, covering the core points though it omits detailed specifics about exercise types and safety considerations."
"22. ""Kann ich meine Symptome mit einem Chatbot verfolgen?""",1,1.0,single,openai/gpt-oss-120b,4,"The reply contains no false or hallucinated medical information and safely advises consulting a professional, but it does not directly address whether a chatbot can be used to track symptoms, representing a minor omission without clinical risk.",5,"The response is short, uses plain language without medical jargon, and is easy for a layperson to understand.",1,"The answer does not address whether symptoms can be tracked with a chatbot, providing no relevant information or guidance."
"23. ""Kann der Chatbot die Ratschläge basierend auf meinen Symptomen personalisieren?""",1,1.0,single,openai/gpt-oss-120b,5,"The response correctly advises the user to consult a medical professional, accurately reflecting that the chatbot cannot safely personalize medical advice based on symptoms.",5,"The response is short, uses simple, everyday language with no medical jargon, and is easy for a lay patient to understand.",1,"The response does not address whether the chatbot can personalize advice based on symptoms, offering only a generic referral, thus missing the core content of the question."
"24. ""Was verursacht Tinnitus?""",3,0.973,single,openai/gpt-oss-120b,5,"The response accurately lists the recognized causes of tinnitus—including auditory pathway lesions, otologic diseases, noise exposure, ototoxic drugs, and associated lifestyle and systemic factors—without presenting false or misleading information.",3,"The answer contains many medical terms (e.g., “pathologische Läsion”, “sensorineuraler Hörverlust”, “Vestibularisschwannom”) that a layperson may not understand, making it harder to follow despite being generally organized.",3,"The answer covers the main categories (auditory system damage, common ear diseases, noise exposure, ototoxic drugs, lifestyle factors) but omits several notable causes such as earwax impaction, ear infections, head/neck trauma, vascular or cardiovascular factors, temporomandibular joint disorders, and other metabolic conditions, so it is not fully comprehensive."
"25. ""Warum fühlt sich mein Tinnitus in ruhigen Umgebungen schlimmer an?""",9,0.6867,triple,openai/gpt-oss-120b,5,"The response correctly explains that the lack of external sounds reduces masking, making tinnitus more noticeable, and notes that stress and fatigue can heighten perception, which aligns with current ENT guidelines. No misinformation or hallucinations are present.",5,"The answer uses simple, everyday language, short sentences, and explains the concept without technical jargon, making it easy for a lay patient to understand.",4,"The answer correctly explains the primary reasons—lack of masking sounds and the amplifying effect of stress/fatigue—but omits other relevant factors such as auditory attention, central gain mechanisms, and practical management tips, which are useful for a complete clinical explanation."
"25. ""Warum fühlt sich mein Tinnitus in ruhigen Umgebungen schlimmer an?""",8,0.6867,triple,openai/gpt-oss-120b,5,"The response correctly explains that the absence of ambient sounds removes masking, making tinnitus more noticeable, and accurately notes that stress and hearing loss can exacerbate perception, matching current clinical understanding without errors or hallucinations.",5,"The response uses short, plain‑language sentences, explains the concept without technical jargon, and is clearly organized, making it easy for a lay patient to understand.",4,"The answer correctly explains the main reason (absence of masking sounds) and adds relevant factors like stress and hearing loss, but it omits deeper mechanisms (e.g., central auditory gain, attention focus) and management tips, a minor gap."
"25. ""Warum fühlt sich mein Tinnitus in ruhigen Umgebungen schlimmer an?""",1,0.6867,triple,openai/gpt-oss-120b,3,"The response contains no scientific content, so it does not present inaccurate information or hallucinations, but it fails to address the user's question, representing a major omission rather than a minor one.",5,"The reply is a short, plain sentence that any layperson can easily understand, with no medical jargon.",1,"The response does not address the question about why tinnitus seems worse in quiet settings, providing no clinical information."
"26. ""Gibt es eine Heilung für Tinnitus?""",1,0.94,single,openai/gpt-oss-120b,5,"The answer correctly reflects current guidelines that there is no known cure for tinnitus, lists appropriate evidence‑based interventions (TRT, hearing aids, management of comorbidities) and does not contain any inaccurate or hallucinated information.",4,"The answer is generally clear and well‑structured, using simple sentences, but includes a few technical terms (e.g., “Tinnitus‑Retraining‑Therapie”, “psychopharmakologische Behandlungen”) that may be unfamiliar to a layperson without hindering overall comprehension.",3,"The answer correctly states that no definitive cure exists and mentions TRT, hearing aids, and addressing comorbidities, but it omits other important management options (e.g., cognitive‑behavioral therapy, sound‑masking devices, treatment of identifiable causes, lifestyle measures, and emerging neuromodulation approaches), so it is not fully comprehensive."
"27. ""Welche Lebensstiländerungen können Tinnitus-Symptome lindern?""",10,0.6004,triple,openai/gpt-oss-120b,4,"The reply contains no misinformation or hallucinations and safely advises consulting a professional, but it does not provide any of the requested lifestyle change information, representing a notable omission.",5,"The response uses simple, plain language that a lay patient can easily understand, with no jargon or confusing phrasing.",1,"The response does not provide any lifestyle recommendations for tinnitus relief, merely redirects to a professional, thus failing to address the question."
"27. ""Welche Lebensstiländerungen können Tinnitus-Symptome lindern?""",3,0.6004,triple,openai/gpt-oss-120b,4,"The answer contains no incorrect medical information or hallucinations, but it does not provide the requested lifestyle recommendations, representing a significant omission though not unsafe.",5,"The reply is a short, plain‑language sentence with no medical jargon, making it easy for a layperson to understand.",1,"The response does not provide any lifestyle modifications for tinnitus relief and merely redirects to a medical professional, failing to address the question."
"27. ""Welche Lebensstiländerungen können Tinnitus-Symptome lindern?""",4,0.6004,triple,openai/gpt-oss-120b,4,"The answer accurately reflects evidence‑based lifestyle measures such as stress reduction, relaxation, counseling, treating comorbid anxiety/depression, and hearing therapy, without any false or hallucinated statements, but it omits other commonly recommended changes (e.g., noise avoidance, caffeine/alcohol moderation, exercise), so it is not completely comprehensive.",4,"The response is mostly clear and uses simple sentences, but includes a few technical terms (e.g., “Hörtherapie”, “auditive System”) that a layperson might not fully grasp without explanation.",2,"The answer only addresses stress management and psychological support, omitting many key lifestyle factors such as noise avoidance, caffeine/alcohol reduction, sleep hygiene, exercise, diet, and ototoxic medication avoidance, thus it is superficial and misses several relevant aspects."
"28. ""Können Stress oder Schlaf meinen Tinnitus beeinflussen?""",7,0.9631,single,openai/gpt-oss-120b,5,"The response correctly states that stress and sleep disturbances can exacerbate tinnitus perception and that stress reduction and good sleep hygiene may help, which aligns with current ENT and tinnitus management guidelines without any false or hallucinated information.",5,"The response uses short, plain sentences, avoids technical jargon, and gives clear, actionable advice, making it easy for a lay patient to understand.",4,"The answer correctly states that stress and sleep problems can exacerbate tinnitus and advises stress reduction and regular sleep, covering the core points, though it omits deeper mechanisms or specific management strategies."
"29. ""Woher weiß ich, ob Online-Gesundheitsinformationen vertrauenswürdig sind?""",7,0.8775,single,openai/gpt-oss-120b,5,"The response correctly outlines standard criteria for assessing the credibility of online health information, cites reputable tinnitus organizations, and advises consulting a healthcare professional, with no inaccurate or hallucinated content.",5,"The answer uses simple, everyday German, short sentences, and clear guidance without unexplained technical terms, making it easy for a layperson to understand.",2,"The response mentions checking for professional authorship and reputable organizations, but omits many key criteria for evaluating online health information such as date of publication, citations, peer‑review, conflict‑of‑interest disclosures, domain credibility, and cross‑checking sources, making it incomplete."
"30. ""Welche Fragen sollte ich meinem Arzt bezüglich Tinnitus stellen?""",6,0.8984,single,openai/gpt-oss-120b,5,"The response lists appropriate, guideline‑consistent questions about onset, triggers, possible causes, medication, prior treatments, severity, functional impact, hearing aids, and coping strategies, without any inaccurate or hallucinated information.",4,"The response is written in clear, everyday German, lists concrete questions a patient can ask, and is easy to follow; only a few mildly technical terms appear but they do not impede comprehension.",3,"The answer mentions many useful topics (onset, causes, medications, severity, impact, hearing aids, anxiety), but omits several important points such as specific diagnostic tests, red‑flag symptoms, pulsatile vs non‑pulsatile distinction, lifestyle modifications, and referral pathways, so it is not fully comprehensive."
"31. ""Wie kann ich medizinische Fachbegriffe besser verstehen?""",1,1.0,single,openai/gpt-oss-120b,4,"The reply contains no false or misleading medical information and does not hallucinate, but it fails to provide concrete guidance on understanding terminology, offering only a generic referral.",5,"The reply is a short, plain‑language sentence with no technical terms, making it easy for a layperson to understand.",1,"The answer does not provide any guidance, strategies, or resources for understanding medical terminology, merely redirects to a professional, thus failing to address the question."
"32. ""Was sollte ich tun, wenn ich im Internet widersprüchliche Gesundheitsratschläge erhalte?""",7,0.9319,single,openai/gpt-oss-120b,5,"The response correctly advises consulting a qualified physician, using medically supervised support groups, and being cautious with unverified apps, which aligns with standard medical guidance and contains no false or hallucinated information.",5,"The response uses simple, everyday language, short sentences, and clear advice without unexplained medical jargon, making it easy for a lay patient to understand.",2,"The answer mentions consulting a physician and being cautious with unmoderated groups and apps, but it omits broader guidance such as evaluating source credibility, using reputable medical websites, cross‑checking information, and other practical steps, making it fairly superficial."
"33. ""Wie kann ich digitale Tools nutzen, um meine Gesundheit effektiv zu verwalten?""",8,0.9442,single,openai/gpt-oss-120b,5,"The response accurately describes the current state of digital tools for tinnitus self‑management, correctly notes limited scientific evidence, and gives appropriate, non‑harmful recommendations without any hallucinated information.",4,"The response is generally clear and well‑structured, using everyday language, but it includes a few technical phrases (e.g., “wissenschaftliche Evidenz,” “kognitive Verhaltensstrategien”) that may be slightly opaque to a lay reader.",2,"The response only discusses digital tools for tinnitus self‑management and omits the broader range of digital health tools (e.g., fitness trackers, medication reminders, telemedicine, nutrition apps, comprehensive health dashboards) that are relevant to the general question."
"34. ""Wenn Tinnitus durch eine Nackenverletzung verursacht wird, wie kann er geheilt werden?""",1,0.8455,triple,openai/gpt-oss-120b,3,"The response correctly advises specialist consultation and physiotherapy for neck‑related tinnitus, but incorrectly lists cochlear implantation as a treatment option, which is not a standard or appropriate cure for tinnitus caused by a neck injury.",4,"The response uses mostly plain language and short sentences, clearly outlining steps and possible treatments, with only a few medical terms (e.g., HNO‑Arzt, Cochlea‑Implantat) that are not explained but are unlikely to hinder overall understanding.",2,"The answer mentions seeing specialists and lists a few vague treatment options, but omits key aspects such as detailed evaluation, specific cervical spine therapies, medication, multidisciplinary rehab, and realistic expectations, making it largely incomplete."
"34. ""Wenn Tinnitus durch eine Nackenverletzung verursacht wird, wie kann er geheilt werden?""",3,0.8455,triple,openai/gpt-oss-120b,4,"The response correctly emphasizes treating the neck injury, involving orthopedics and physiotherapy, and consulting an ENT for tinnitus assessment, which aligns with current multidisciplinary recommendations; it lacks detail on specific cervical interventions but contains no false or harmful statements.",4,"The response is concise and organized, using mostly plain language; a few medical terms (e.g., Orthopäde, HNO‑Arzt, Klang‑Enrichment‑Methoden) appear but are common enough not to impede comprehension for a layperson.",2,"The answer mentions seeing an orthopedist, physiotherapy, and ENT involvement, but omits detailed evaluation, specific cervical treatments, multidisciplinary options, and realistic expectations, leaving many relevant aspects unaddressed."
"34. ""Wenn Tinnitus durch eine Nackenverletzung verursacht wird, wie kann er geheilt werden?""",2,0.8455,triple,openai/gpt-oss-120b,5,"The response contains no inaccurate medical information or hallucinations and appropriately advises consulting a qualified professional, which aligns with safe medical practice.",5,"The response uses simple, direct language with no medical jargon, making it easily understandable for a lay patient.",1,"The response does not provide any clinical information about treatment options for neck‑injury‑related tinnitus, merely redirects to a professional, thus failing to address the question."
"35. ""Was wissen Sie über das Hörsystem?""",4,0.9777,single,openai/gpt-oss-120b,5,"The response correctly describes the auditory system’s role in hearing and balance, mentions appropriate clinical thresholds for hearing loss, and accurately references audiometric testing without any false or misleading statements.",4,"The response is generally clear and well‑structured, using simple sentences, but it includes a few technical terms (e.g., “auditorische System”, “Audiogramm”, “dB”) that a layperson might not fully grasp without explanation.",2,"The response provides only a brief, generic description and mentions audiometry, but omits major anatomical, physiological, and clinical details that a complete answer about the hearing system should include."
"36. ""Was ist der beste Weg, um die Frequenz des Tinnitus-Geräusches zu bestimmen?""",1,0.9824,single,openai/gpt-oss-120b,5,"The response correctly describes the standard pitch‑matching (tone‑matching) procedure used in audiology to determine the perceived frequency of tinnitus, consistent with clinical guidelines, and contains no inaccurate or hallucinated information.",4,"The answer explains the procedure in simple steps and uses plain language, with only a few technical terms (e.g., ""Tonhöhen‑Anpassungstest"", ""Reintonaudiogramm"") that may be unfamiliar but do not prevent overall understanding.",3,"The answer correctly identifies pitch‑matching as the primary method and mentions its place in an audiologic exam, but it omits other relevant details such as alternative matching techniques, the need for repeated measures, and limitations of the method."
"37. ""Mein Patient hat einen pulssynchronen Tinnitus. Welche Diagnostik ist erforderlich?""",9,0.8166,triple,openai/gpt-oss-120b,2,"The response offers no diagnostic information for pulsatile tinnitus, providing no useful or accurate medical content, though it does not contain misinformation.",5,"The reply is a short, plain sentence with no jargon, easily understood by anyone.",1,"The response does not provide any diagnostic information for pulsatile tinnitus, completely failing to address the question."
"37. ""Mein Patient hat einen pulssynchronen Tinnitus. Welche Diagnostik ist erforderlich?""",6,0.8166,triple,openai/gpt-oss-120b,2,"The response offers no diagnostic information for pulsatile tinnitus, providing no useful or accurate content; while it does not contain false statements, it fails to address the clinical question.",5,"The reply is a short, plain sentence with no jargon, easily understood by anyone.",1,"The response does not provide any diagnostic information for pulsatile tinnitus, completely failing to address the question."
"37. ""Mein Patient hat einen pulssynchronen Tinnitus. Welche Diagnostik ist erforderlich?""",10,0.8166,triple,openai/gpt-oss-120b,3,"The answer correctly emphasizes a detailed history and suggests imaging (MRI) to rule out vascular causes, but it omits key investigations such as carotid Doppler ultrasound, CT/MR angiography, and thorough ENT physical examination, and unnecessarily recommends a psychosomatic specialist, making it only moderately accurate.",3,"The response conveys the needed steps but uses several technical terms (e.g., Anamnese, Bildgebung, MRT, vaskuläre Ursachen) without explanation, making it somewhat hard for a non‑medical reader to follow.",2,"The response only mentions a detailed history and MRI, neglecting essential examinations such as otoscopy, auscultation, audiometry, tympanometry, vascular imaging (CT/CTA, Doppler), nasopharyngoscopy, and basic labs that are standard for evaluating pulsatile tinnitus."
"38. ""Gibt es ein spezialisiertes Tinnitus-Zentrum in meiner Heimatstadt?""",1,1.0,single,openai/gpt-oss-120b,4,"The response contains no false or misleading medical information and correctly advises consulting a qualified professional for location-specific details, though it does not directly answer the query.",5,"The reply uses simple, everyday language with no technical terms, making it easy for a lay patient to understand.",1,"The response does not provide any information about the existence or location of a specialized tinnitus center, merely redirects the user, thus failing to address the question."
